timestamp,ip_origen,ip_destino,puerto_origen,puerto_destino,protocolo,tamano
1738812698.752213,192.168.1.7,190.99.74.45,43833,443,UDP,80
1738812698.753895,192.168.1.7,190.99.74.45,43833,443,UDP,76
1738812698.755099,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.7551,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.755168,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.755529,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.755529,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.755835,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.755835,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.755903,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.756272,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.756272,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.756386,192.168.1.7,190.99.74.45,43833,443,UDP,75
1738812698.756553,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.758016,192.168.1.7,190.99.74.45,43833,443,UDP,76
1738812698.758329,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.75833,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.75833,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.75833,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.75833,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.75833,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.75833,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.758623,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.758623,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.758994,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.758994,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.75908,192.168.1.7,190.99.74.45,43833,443,UDP,75
1738812698.759276,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.759276,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.759587,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.759587,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.75989,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.75989,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.759957,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.760615,192.168.1.7,190.99.74.45,43833,443,UDP,76
1738812698.760926,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.76171,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.76171,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.761773,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.762133,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.762133,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.762139,192.168.1.7,190.99.74.45,43833,443,UDP,74
1738812698.76221,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.762585,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.762585,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.762663,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.763028,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.763028,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.763102,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.763474,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.763474,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.763594,192.168.1.7,190.99.74.45,43833,443,UDP,74
1738812698.763899,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.764238,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.765667,192.168.1.7,190.99.74.45,43833,443,UDP,75
1738812698.767704,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.767704,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.768051,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.768051,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.768408,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.768408,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.768772,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.768772,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.768915,192.168.1.7,190.99.74.45,43833,443,UDP,74
1738812698.769121,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.769122,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.769497,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.769497,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.769862,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.769862,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.770005,192.168.1.7,190.99.74.45,43833,443,UDP,74
1738812698.770214,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.771261,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.771262,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.771334,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.771466,192.168.1.7,190.99.74.45,43833,443,UDP,74
1738812698.77168,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.77168,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.771989,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.77199,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.77228,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.77228,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.772576,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.7727,192.168.1.7,190.99.74.45,43833,443,UDP,75
1738812698.776504,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.776504,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.776575,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.776936,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.776936,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.77723,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.77723,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.777525,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.777525,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.777643,192.168.1.7,190.99.74.45,43833,443,UDP,75
1738812698.777809,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.777809,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.77812,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.77812,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.778414,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.778414,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.778711,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.778711,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.778772,192.168.1.7,190.99.74.45,43833,443,UDP,75
1738812698.778989,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.778989,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.779302,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.779302,190.99.74.45,192.168.1.7,443,43833,UDP,1292
